id,url,title,viewCount,publishedAt,audio_title,audio_subtitle
0J2QdDbelmY,https://www.youtube.com/watch?v=0J2QdDbelmY,The White Stripes - Seven Nation Army (Official Music Video),580526442,2008-10-21T13:32:13Z,Seven Nation Army,The White Stripes
eLey06n6WKw,https://www.youtube.com/watch?v=eLey06n6WKw&list=RDeLey06n6WKw&start_radio=1,Dewey Square,7331,2020-06-25T10:07:00Z,Dewey Square,Miles Davis
